dataset,trial,batch_size,learning_rate,n_layer,n_units
MLP_alsfrs-r_T2_T5,trial_27,128,0.0010440815810811295,2,128
MLP_alsfrs-r_T2_T5,trial_44,128,0.0036561368802362224,4,1024
MLP_alsfrs-r_T2_T5,trial_9,32,0.00015945061334716868,2,256
MLP_alsfrs-r_T2_T5,trial_43,128,0.007788974221861716,3,1024
MLP_alsfrs-r_T2_T5,trial_7,16,1.931277483850019e-05,3,128
MLP_alsfrs-r_T2_T5,trial_0,32,0.007061552737541527,4,128
MLP_alsfrs-r_T2_T5,trial_19,32,0.004067565416740224,2,512
MLP_alsfrs-r_T2_T5,trial_26,32,0.0027623204821195894,1,256
MLP_alsfrs-r_T2_T5,trial_21,32,0.004425082318316657,4,32
MLP_alsfrs-r_T2_T5,trial_28,128,0.00045073616541278544,2,128
MLP_alsfrs-r_T2_T5,trial_17,32,0.003390110657712033,2,512
MLP_alsfrs-r_T2_T5,trial_10,128,0.009584480476536074,4,128
MLP_alsfrs-r_T1-T4_T5,trial_36,128,5.2149531909856965e-05,1,1024
MLP_alsfrs-r_T1-T4_T5,trial_31,64,4.5280359516665875e-05,4,32
MLP_alsfrs-r_T1-T4_T5,trial_38,128,1.7646360285881014e-05,3,128
MLP_alsfrs-r_T1-T4_T5,trial_39,64,0.0006126930161088409,1,64
MLP_alsfrs-r_T1-T4_T5,trial_30,16,0.0002553603352550501,3,64
MLP_alsfrs-r_T1-T4_T5,trial_37,64,0.0002092653279146291,5,32
MLP_alsfrs-r_T1-T4_T5,trial_15,32,0.001582391288591418,2,64
MLP_alsfrs-r_T1-T4_T5,trial_12,16,9.938904461096941e-05,3,512
MLP_alsfrs-r_T1-T4_T5,trial_24,128,0.00031091314180542646,2,64
MLP_alsfrs-r_T1-T4_T5,trial_23,128,0.0006585028952351545,3,64
MLP_alsfrs-r_T1-T4_T5,trial_5,128,0.0003944009652800909,1,128
MLP_alsfrs-r_T1-T4_T5,trial_48,64,8.389613545928085e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_2,32,1.1052760146894291e-05,1,1024
MLP_alsfrs-r_T1-T4_T5,trial_46,64,2.1395711378429495e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_41,64,3.8423126580147935e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_22,128,0.0028906456225611566,2,64
MLP_alsfrs-r_T1-T4_T5,trial_25,128,0.005066474991281792,1,64
MLP_alsfrs-r_T1-T4_T5,trial_13,32,0.0010006105289687773,2,64
MLP_alsfrs-r_T1-T4_T5,trial_14,32,0.0012132556492881717,2,64
MLP_alsfrs-r_T1-T4_T5,trial_40,64,3.296435390121398e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_47,64,3.4025315356734975e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_3,64,1.4015616503664429e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_4,64,3.7199985471039517e-05,1,32
MLP_alsfrs-r_T1-T4_T5,trial_49,64,1.1914777822252794e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_32,64,1.5591686935623917e-05,5,32
MLP_alsfrs-r_T1-T4_T5,trial_35,64,2.9199950756529443e-05,3,32
MLP_alsfrs-r_T1-T4_T5,trial_34,64,1.8350093528445655e-05,4,1024
MLP_alsfrs-r_T1-T4_T5,trial_33,64,6.019814172803195e-05,4,32
MLP_alsfrs-r_T1-T4_T5,trial_1,64,2.4696323684076655e-05,5,1024
MLP_alsfrs-r_T1-T4_T5,trial_6,128,0.0035447618300285632,1,1024
MLP_alsfrs-r_T1-T4_T5,trial_42,64,1.3868419282442248e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_45,64,1.015194898129912e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_8,64,2.5476364058819473e-05,1,256
MLP_alsfrs-r_T1-T4_T5,trial_11,16,0.0001149880247294749,3,512
MLP_alsfrs-r_T1-T4_T5,trial_29,64,0.007897745485909087,1,128
MLP_alsfrs-r_T1-T4_T5,trial_16,32,0.0022096923242242617,2,64
MLP_alsfrs-r_T1-T4_T5,trial_20,128,0.00028470775172113216,2,512
MLP_alsfrs-r_T1-T4_T5,trial_18,128,0.0009306266005433546,2,64
MLP_alsfrs-r_T1-T4_T5,trial_27,128,1.0960327268934109e-05,2,256
MLP_alsfrs-r_T1-T4_T5,trial_44,64,2.5675095439721068e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_9,64,0.00014659004433202245,4,32
MLP_alsfrs-r_T1-T4_T5,trial_43,64,1.397379021303322e-05,1,512
MLP_alsfrs-r_T1-T4_T5,trial_7,64,0.0004800424202008289,5,128
MLP_alsfrs-r_T1-T4_T5,trial_0,16,0.008855690474225592,1,128
MLP_alsfrs-r_T1-T4_T5,trial_19,128,0.0007318848251517639,4,512
MLP_alsfrs-r_T1-T4_T5,trial_26,64,5.645761128220372e-05,4,32
MLP_alsfrs-r_T1-T4_T5,trial_21,128,0.0020316060198776915,2,64
MLP_alsfrs-r_T1-T4_T5,trial_28,128,0.0018017085614580204,1,512
MLP_alsfrs-r_T1-T4_T5,trial_17,32,0.005975466089240006,2,256
MLP_alsfrs-r_T1-T4_T5,trial_10,16,0.00013170866089585694,3,512
MLP_alsfrs-r_T1-T2-T3_T5,trial_36,128,5.2506460730527015e-05,3,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_31,64,0.0002899669090518346,5,32
MLP_alsfrs-r_T1-T2-T3_T5,trial_38,128,0.0018381669901403061,4,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_39,128,3.4838008299834636e-05,3,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_30,64,0.005927738078034433,4,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_37,128,2.061734606156534e-05,4,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_15,16,0.007467978371425812,4,32
MLP_alsfrs-r_T1-T2-T3_T5,trial_12,32,7.811893443803419e-05,5,1024
MLP_alsfrs-r_T1-T2-T3_T5,trial_24,16,0.0003139017958110699,4,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_23,16,0.00010582756577217737,5,32
MLP_alsfrs-r_T1-T2-T3_T5,trial_5,128,0.002134197081177113,1,512
MLP_alsfrs-r_T1-T2-T3_T5,trial_48,16,2.6130523069875756e-05,1,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_2,128,4.186691942522856e-05,3,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_46,16,3.1315120614772795e-05,1,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_41,16,1.0061979900498452e-05,2,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_22,32,0.0001761648820668507,5,1024
MLP_alsfrs-r_T1-T2-T3_T5,trial_25,32,2.403534079258678e-05,5,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_13,32,0.0005791663359702374,4,1024
MLP_alsfrs-r_T1-T2-T3_T5,trial_14,32,9.150537295298375e-05,5,512
MLP_alsfrs-r_T1-T2-T3_T5,trial_40,16,1.7358107314241663e-05,2,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_47,16,1.3511799501562447e-05,1,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_3,16,6.182418464999839e-05,5,512
MLP_alsfrs-r_T1-T2-T3_T5,trial_4,16,1.2210452110681194e-05,2,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_49,16,7.394104126907411e-05,1,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_32,128,0.0005065576799896925,5,512
MLP_alsfrs-r_T1-T2-T3_T5,trial_35,128,4.5584859563487204e-05,5,128
MLP_alsfrs-r_T1-T2-T3_T5,trial_34,16,3.8912935650418955e-05,3,1024
MLP_alsfrs-r_T1-T2-T3_T5,trial_33,64,0.006487710984100612,3,64
MLP_alsfrs-r_T1-T2-T3_T5,trial_1,64,1.659814426429604e-05,3,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_6,16,0.00020086487610504095,3,64
MLP_alsfrs-r_T1-T2-T3_T5,trial_42,16,1.5994727711185083e-05,1,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_45,16,1.7619365223902735e-05,1,256
MLP_alsfrs-r_T1-T2-T3_T5,trial_8,64,0.0024962364757374084,5,32
MLP_alsfrs-r_T1-T2-T3_T5,trial_11,32,0.00014116206727604093,5,1024
MLP_alsfrs-r_T1-T2-T3_T5,trial_29,64,0.00130708472361153,4,64
MLP_alsfrs-r_T1-T2-T3_T5,trial_16,16,0.008937118339040805,4,32
MLP_alsfrs-r_T1-T2-T3_T5,trial_20,128,0.0011889219244318975,2,512
