Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T3_T5/trial_13;2;512;0,0001;ReLU;Huber;1;RMSprop;0,6861;0,6861;500
T3_T5/trial_14;2;512;0;ReLU;Huber;1;Adam;0,7255;0,7255;1 600
T3_T5/trial_15;1;512;0;ReLU;Huber;1;Adam;0,7194;0,7194;2 420
T3_T5/trial_16;2;512;0;sigmoid;MAE;1;Adam;-2,8984;-2,8984;4 000
T3_T5/trial_17;4;256;0,0007;ReLU;Huber;1;Adam;0,7018;0,7018;390
T3_T5/trial_18;1;64;0,0002;ReLU;Huber;0;Adam;0,7147;0,7147;1 080
T3_T5/trial_19;2;512;0;sigmoid;MAE;1;Adam;-2,6512;-2,6512;2 000
T3_T5/trial_2;2;512;0,0001;ReLU;Huber;1;Adam;0,7262;0,7262;610
T3_T5/trial_20;5;512;0,0001;ReLU;Huber;1;Adam;0,6996;0,6996;820
T3_T5/trial_21;1;512;0;ReLU;Huber;1;Adam;0,718;0,718;2 960
T3_T5/trial_22;1;512;0;ReLU;Huber;1;Adam;0,7149;0,7149;2 560
T3_T5/trial_23;2;512;0;ReLU;Huber;1;Adam;0,7067;0,7067;2 180
T3_T5/trial_24;1;512;0,0001;ReLU;Huber;1;Adam;0,724;0,724;850
T3_T5/trial_25;2;512;0,0001;ReLU;Huber;1;Adam;0,7274;0,7274;510
T3_T5/trial_26;2;1 024;0,0001;ReLU;Huber;0;Adam;0,7256;0,7256;270
T3_T5/trial_27;3;1 024;0,0003;ReLU;Huber;0;Adam;0,7183;0,7183;170
T3_T5/trial_28;2;1 024;0,0001;sigmoid;MAE;0;Adam;0,6302;0,6302;1 180
T3_T5/trial_29;3;1 024;0,0003;tanh;MSE;0;Adagrad;0,5505;0,5505;2 000
T3_T5/trial_3;3;128;0;tanh;MSE;1;Adagrad;-8,5562;-8,5562;8 000
T3_T5/trial_30;2;256;0,0008;tanh;Huber;0;Adam;0,6805;0,6805;530
T3_T5/trial_31;3;1 024;0,0003;ReLU;Huber;0;Adam;0,7212;0,7212;230
T3_T5/trial_32;4;1 024;0,0001;ReLU;Huber;0;Adam;0,7286;0,7286;260
