dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
T1-T2-T3_T4,trial_74,3.0,128.0,0.0004418287095710519,0.0,16,ReLU,Adam,3.0189075469970703,4.011801719665527,0.7725920081138611
T1-T2-T3_T4,trial_80,3.0,512.0,0.00028719921217575204,1.0,16,ReLU,Adam,3.0147058963775635,3.8958895206451416,0.7834286093711853
T1-T2-T3_T4,trial_6,1.0,256.0,0.0004965093618333262,0.0,32,ReLU,Adam,3.0756301879882812,4.080914497375488,0.7950888276100159
T1-T2-T3_T4,trial_16,2.0,128.0,0.0008529702019821381,0.0,64,ReLU,Adam,3.002100944519043,3.983751058578491,0.8104783296585083
T1-T2-T3_T4,trial_81,3.0,128.0,0.000403917210247432,0.0,16,ReLU,Adam,2.9516806602478027,3.931645393371582,0.7791425585746765
T1-T2-T3_T4,trial_0,3.0,256.0,0.00038541458086981806,1.0,128,ReLU,Adam,2.890756368637085,3.9080123901367188,0.8203471302986145
T2-T3-T4_T5,trial_54,3.0,512.0,0.00013659821987061765,1.0,16,ReLU,Adam,3.061764717102051,3.84102463722229,0.8048544526100159
T2-T3-T4_T5,trial_62,3.0,512.0,0.0002070910936347143,1.0,16,ReLU,Adam,3.105882406234741,3.861506223678589,0.8027119636535645
T2-T3-T4_T5,trial_64,3.0,512.0,0.00012039347480721027,1.0,16,ReLU,Adam,2.997058868408203,3.7429404258728027,0.8147788643836975
T2-T3-T4_T5,trial_52,3.0,512.0,9.932170700535566e-05,1.0,16,ReLU,Adam,2.970588207244873,3.844494581222534,0.8033336997032166
T2-T3-T4_T5,trial_2,3.0,64.0,1.0810835891854003e-05,1.0,64,ReLU,Adam,5.626470565795898,7.44468355178833,0.37689635157585144
T2-T3-T4_T5,trial_46,3.0,128.0,0.0009801135961105794,0.0,64,ReLU,Adam,3.111764669418335,3.9463601112365723,0.8227216601371765
T2-T3-T4_T5,trial_13,3.0,128.0,0.0008313698176574871,0.0,32,ReLU,Adam,3.0088236331939697,3.8387911319732666,0.8312501907348633
T2-T3-T4_T5,trial_85,3.0,512.0,0.0002505219391519844,1.0,16,ReLU,Adam,3.0352940559387207,3.759601593017578,0.8094709515571594
T2-T3-T4_T5,trial_3,2.0,32.0,8.126579327604289e-05,0.0,64,ReLU,Adam,3.411764621734619,4.388418197631836,0.7851179838180542
T2-T3-T4_T5,trial_4,1.0,64.0,0.00031237964829224763,1.0,16,ReLU,Adam,3.6529412269592285,4.646405220031738,0.7113212943077087
T2-T3-T4_T5,trial_32,3.0,128.0,0.00045467349474403714,0.0,32,ReLU,Adam,3.0647058486938477,3.9188103675842285,0.8225609064102173
T2-T3-T4_T5,trial_35,3.0,128.0,0.00033803077383601666,0.0,32,ReLU,Adam,3.1852941513061523,4.153073310852051,0.8025161027908325
T2-T3-T4_T5,trial_61,3.0,512.0,0.00013659130740764755,1.0,16,ReLU,Adam,3.0088236331939697,3.7683987617492676,0.8098201155662537
T2-T3-T4_T5,trial_92,3.0,512.0,0.00013241908513068402,1.0,16,ReLU,Adam,2.8529412746429443,3.5595462322235107,0.826215922832489
T2-T3-T4_T5,trial_69,2.0,512.0,0.00016293474665992141,0.0,32,ReLU,Adam,3.2647058963775635,4.215475082397461,0.795703649520874
T2-T3-T4_T5,trial_51,3.0,512.0,0.00011520437305577218,1.0,16,ReLU,Adam,2.938235282897949,3.638319969177246,0.822282075881958
T2-T3-T4_T5,trial_87,3.0,512.0,0.00014684678850765192,0.0,32,ReLU,Adam,2.894117593765259,3.6849048137664795,0.8417928218841553
T2-T3-T4_T5,trial_1,2.0,256.0,8.342516216968658e-05,1.0,128,ReLU,Adam,3.279411792755127,4.334397315979004,0.798035204410553
T2-T3-T4_T5,trial_6,2.0,512.0,2.8162520301145927e-05,1.0,32,ReLU,Adam,3.3176469802856445,4.218624114990234,0.7981608510017395
T2-T3-T4_T5,trial_11,3.0,128.0,0.00024947264120788804,0.0,32,ReLU,Adam,3.0764706134796143,3.901780843734741,0.8240320682525635
T2-T3-T4_T5,trial_16,2.0,128.0,0.000439796585667023,0.0,32,ReLU,Adam,3.2294118404388428,4.085818767547607,0.8073413372039795
T2-T3-T4_T5,trial_20,2.0,256.0,0.00017858494365597787,0.0,32,ReLU,Adam,3.1529412269592285,4.12587308883667,0.8020919561386108
T2-T3-T4_T5,trial_7,1.0,512.0,0.000721005267808318,1.0,64,ReLU,Adam,3.5205881595611572,4.535526275634766,0.7724080681800842
T2-T3-T4_T5,trial_0,3.0,128.0,0.0001231985898890526,0.0,32,ReLU,Adam,2.861764669418335,3.7376511096954346,0.8385006189346313
