Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T3_T5/trial_32;3;1 024;0,0001;ReLU;Huber;1;Adagrad;4,6444;4,6444;7 584
T2-T3_T5/trial_33;3;32;0,0001;ReLU;Huber;1;Adagrad;25,0182;25,0182;15 800
T2-T3_T5/trial_34;3;1 024;0;ReLU;Huber;1;Adagrad;9,7378;9,7378;2 000
T2-T3_T5/trial_35;4;1 024;0,0052;ReLU;Huber;1;Adagrad;4,3989;4,3989;869
T2-T3_T5/trial_36;3;1 024;0;ReLU;Huber;1;Adam;4,3707;4,3707;1 185
T2-T3_T5/trial_37;3;128;0;tanh;Huber;1;Adagrad;29,5974;29,5974;4 000
T2-T3_T5/trial_38;4;512;0,0001;ReLU;MSE;1;RMSprop;5,342;5,342;632
T2-T3_T5/trial_39;5;1 024;0;ReLU;Huber;1;Adam;4,6981;4,6981;520
T2-T3_T5/trial_4;1;1 024;0,001;ReLU;Huber;1;Adam;5,3952;5,3952;520
T2-T3_T5/trial_40;3;1 024;0,0018;sigmoid;MAE;1;Adagrad;10,4383;10,4383;2 000
T2-T3_T5/trial_41;3;1 024;0,0001;ReLU;Huber;0;Adagrad;4,5832;4,5832;1 659
T2-T3_T5/trial_42;3;1 024;0,0002;ReLU;Huber;1;Adagrad;4,4149;4,4149;1 027
T2-T3_T5/trial_43;2;1 024;0,0001;ReLU;Huber;0;Adagrad;4,5456;4,5456;3 634
T2-T3_T5/trial_44;4;512;0,0001;ReLU;Huber;1;Adagrad;5,1054;5,1054;15 800
T2-T3_T5/trial_45;3;1 024;0,0001;ReLU;Huber;0;RMSprop;6,4228;6,4228;474
T2-T3_T5/trial_46;2;256;0;tanh;Huber;1;Adagrad;25,0105;25,0105;15 800
T2-T3_T5/trial_47;3;32;0;ReLU;MSE;1;Adagrad;29,5903;29,5903;4 000
T2-T3_T5/trial_48;2;1 024;0,0001;ReLU;Huber;0;Adam;4,8869;4,8869;869
T2-T3_T5/trial_49;3;64;0,0002;ReLU;Huber;1;Adagrad;4,8754;4,8754;15 800
T2-T3_T5/trial_5;3;512;0,0012;ReLU;MSE;0;Adam;4,7695;4,7695;948
T2-T3_T5/trial_6;4;512;0,0007;tanh;MAE;1;RMSprop;9,8505;9,8505;760
T2-T3_T5/trial_7;3;512;0;tanh;MAE;1;Adagrad;26,7641;26,7641;4 000
T2-T3_T5/trial_8;2;256;0,0005;ReLU;Huber;0;RMSprop;6,2347;6,2347;280
T2-T3_T5/trial_9;2;1 024;0,0008;ReLU;MSE;0;RMSprop;5,4224;5,4224;480
T2-T4_T5/trial_0;3;512;0;tanh;MAE;0;Adam;3,8814;3,8814;5 382
T2-T4_T5/trial_1;1;256;0;tanh;MAE;0;Adam;10,6394;10,6394;2 000
T2-T4_T5/trial_10;5;512;0;tanh;MAE;0;Adam;10,2442;10,2442;4 134
T2-T4_T5/trial_11;5;128;0,0012;sigmoid;MAE;1;Adagrad;28,2102;28,2102;4 000
T2-T4_T5/trial_12;4;1 024;0,0008;sigmoid;MAE;0;Adagrad;10,256;10,256;1 404
T2-T4_T5/trial_13;2;512;0,001;sigmoid;MAE;1;Adagrad;13,101;13,101;4 000
T2-T4_T5/trial_14;2;512;0,0001;sigmoid;MAE;1;Adagrad;21,7923;21,7923;15 600
T2-T4_T5/trial_15;4;1 024;0,0028;tanh;MAE;0;Adam;10,8176;10,8176;507
T2-T4_T5/trial_16;4;128;0,01;sigmoid;MSE;1;Adagrad;10,4984;10,4984;15 600
T2-T4_T5/trial_17;2;1 024;0,0005;sigmoid;MAE;0;Adam;10,3902;10,3902;200
T2-T4_T5/trial_18;4;512;0,0001;tanh;MAE;0;Adagrad;13,0889;13,0889;4 000
T2-T4_T5/trial_19;2;1 024;0,0021;ReLU;MSE;1;RMSprop;3,5848;3,5848;624
T2-T4_T5/trial_2;1;1 024;0,0012;sigmoid;MAE;1;Adagrad;4,4831;4,4831;1 320
T2-T4_T5/trial_20;3;512;0,0004;tanh;MAE;1;Adagrad;15,8288;15,8288;7 800
T2-T4_T5/trial_21;2;256;0,0001;tanh;Huber;0;RMSprop;4,2157;4,2157;1 640
T2-T4_T5/trial_22;2;256;0,0001;tanh;Huber;0;RMSprop;4,5358;4,5358;1 760
T2-T4_T5/trial_23;2;256;0,0001;tanh;Huber;0;RMSprop;4,4468;4,4468;2 400
T2-T4_T5/trial_24;2;256;0,0001;tanh;Huber;0;RMSprop;5,0957;5,0957;1 780
T2-T4_T5/trial_25;2;256;0,0001;tanh;Huber;0;RMSprop;4,3726;4,3726;1 940
